Date,actual_spread,fair_spread,mispricing_bps,signal
2025-11-11,1.05,1.0526,-0.25999999999999357,FLAT
2025-11-12,1.05,1.054,-0.40000000000000036,FLAT
2025-11-13,1.06,1.0605999999999998,-0.05999999999997119,FLAT
2025-11-14,1.06,1.062,-0.20000000000000018,FLAT
2025-11-17,1.06,1.0645999999999995,-0.45999999999994934,FLAT
2025-11-18,1.07,1.0609999999999997,0.9000000000000341,FLAT
2025-11-19,1.07,1.0647999999999995,0.5200000000000538,FLAT
2025-11-20,1.08,1.0650999999999995,1.490000000000058,FLAT
2025-11-21,1.09,1.075599999999999,1.4400000000001079,FLAT
2025-11-24,1.08,1.1009999999999986,-2.0999999999998575,SELL
2025-11-25,1.07,1.0755999999999992,-0.5599999999999161,FLAT
2025-11-26,1.05,1.0597999999999992,-0.9799999999999143,FLAT
2025-11-28,1.04,1.0450000000000004,-0.5000000000000338,FLAT
2025-12-01,1.04,1.0350000000000008,0.49999999999992273,FLAT
2025-12-02,1.03,1.0329000000000006,-0.2900000000000569,FLAT
2025-12-03,1.03,1.0289000000000001,0.10999999999998789,FLAT
2025-12-04,1.02,1.0270000000000006,-0.7000000000000561,FLAT
2025-12-05,1.01,1.0103000000000006,-0.03000000000006331,FLAT
2025-12-08,1.0,1.009900000000001,-0.9900000000000908,FLAT
2025-12-09,1.0,1.0059000000000011,-0.5900000000001127,FLAT
2025-12-10,1.0,1.0015000000000003,-0.1500000000000279,FLAT
2025-12-11,1.0,0.9970000000000002,0.29999999999997806,FLAT
2025-12-12,1.01,1.0007000000000004,0.9299999999999642,FLAT
2025-12-15,1.02,1.0146000000000008,0.5399999999999183,FLAT
2025-12-16,1.03,1.0213000000000003,0.8699999999999708,FLAT
2025-12-17,1.03,1.0313000000000003,-0.1300000000000301,FLAT
2025-12-18,1.03,1.0248,0.5200000000000093,FLAT
2025-12-19,1.02,1.0193,0.06999999999999229,FLAT
2025-12-22,1.02,1.0087000000000008,1.12999999999992,FLAT
2025-12-23,1.01,1.0103000000000006,-0.03000000000006331,FLAT
2025-12-24,1.0,1.0064000000000006,-0.6400000000000627,FLAT
