Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-12 00:00:00-04:00,244.40945962367468,247.2497628012072,244.32308812226344,245.56092834472656,27148700,0.0,0.0
2021-04-13 00:00:00-04:00,246.85638119663275,248.70832471522863,246.4437481976679,248.03662109375,23837500,0.0,0.0
2021-04-14 00:00:00-04:00,247.06742699301665,248.36280908207007,244.84124159709435,245.25384521484375,23070900,0.0,0.0
2021-04-15 00:00:00-04:00,247.49917607756265,249.41829508741483,247.30728174663673,249.0056915283203,25627500,0.0,0.0
2021-04-16 00:00:00-04:00,248.97689614166003,250.4450209552328,247.18252462323014,250.19552612304688,24878600,0.0,0.0
2021-04-19 00:00:00-04:00,249.66777059283316,250.90561045767913,247.39361942763858,248.27639770507812,23209300,0.0,0.0
2021-04-20 00:00:00-04:00,247.39367885760478,249.6774355364168,246.45329984767133,247.81588745117188,19722900,0.0,0.0
2021-04-21 00:00:00-04:00,248.4683450570387,250.13796925520947,246.8466871216118,250.04200744628906,24030400,0.0,0.0
2021-04-22 00:00:00-04:00,249.6870140739472,251.19352978714605,245.3018339862112,246.7699737548828,25606200,0.0,0.0
2021-04-23 00:00:00-04:00,247.45123983804805,250.93444594888362,246.86589324164044,250.5889892578125,21462600,0.0,0.0
2021-04-26 00:00:00-04:00,251.07834509387854,251.82680034091737,249.64861079357635,250.9727783203125,19763300,0.0,0.0
2021-04-27 00:00:00-04:00,251.0016273911271,252.5465338213757,249.60067835062966,251.37586975097656,31014200,0.0,0.0
2021-04-28 00:00:00-04:00,245.72402306023824,246.1654415847011,242.72061130265914,244.2655029296875,46903100,0.0,0.0
2021-04-29 00:00:00-04:00,245.12911354726194,245.74323113487725,238.93035179332017,242.29840087890625,40589000,0.0,0.0
2021-04-30 00:00:00-04:00,239.64042208199547,242.84534766283653,239.50608432237092,241.9817352294922,30945100,0.0,0.0
2021-05-03 00:00:00-04:00,243.1523979660195,244.06399130382755,240.96460323871534,241.6746826171875,19626600,0.0,0.0
2021-05-04 00:00:00-04:00,240.8206790565612,241.0509786364311,235.821366992888,237.76927185058594,32756100,0.0,0.0
2021-05-05 00:00:00-04:00,238.98789545222698,239.4101039903154,235.87893192942408,236.5026397705078,21901300,0.0,0.0
2021-05-06 00:00:00-04:00,236.4834442394811,239.7555457646202,234.79462473056245,239.63079833984375,26491100,0.0,0.0
2021-05-07 00:00:00-04:00,241.95295146590863,244.0160134266029,241.01258714133363,242.25042724609375,27032900,0.0,0.0
2021-05-10 00:00:00-04:00,240.72472211515404,241.54994399092692,237.126373466444,237.18394470214844,29299900,0.0,0.0
2021-05-11 00:00:00-04:00,234.6603010402085,236.62740113121535,232.76037714863403,236.27235412597656,33641600,0.0,0.0
2021-05-12 00:00:00-04:00,232.37654952810314,234.49718271340848,228.44236390313688,229.33474731445312,36684400,0.0,0.0
2021-05-13 00:00:00-04:00,232.02152794835033,235.66785757262463,231.65689059340738,233.2017822265625,29624300,0.0,0.0
2021-05-14 00:00:00-04:00,235.64865494854968,239.10306082061462,235.5622980961346,238.11471557617188,23901100,0.0,0.0
2021-05-17 00:00:00-04:00,236.57940755176028,236.61778349101087,233.67194331645007,235.26480102539062,24970200,0.0,0.0
2021-05-18 00:00:00-04:00,236.31075341180204,236.44509117389674,233.07702751284302,233.249755859375,20168000,0.0,0.0
2021-05-19 00:00:00-04:00,230.16246611695865,233.93262388279754,229.47961380869796,233.8268280029297,25739800,0.56,0.0
2021-05-20 00:00:00-04:00,234.63470174976987,238.47217569165701,234.53851835238595,237.05836486816406,21800700,0.0,0.0
2021-05-21 00:00:00-04:00,238.10673157029987,238.83767555656837,235.38490555585892,235.7984619140625,21863100,0.0,0.0
2021-05-24 00:00:00-04:00,238.31828691309914,241.5594795417082,238.04899101242594,241.19400024414062,21411500,0.0,0.0
2021-05-25 00:00:00-04:00,242.14619045877527,243.08872621785105,241.2325067869294,242.0980987548828,17704300,0.0,0.0
2021-05-26 00:00:00-04:00,241.819173240438,243.2714634355035,241.16517303578058,241.87689208984375,17771600,0.0,0.0
2021-05-27 00:00:00-04:00,241.56911515709095,241.86726317029425,239.72250822888856,239.78021240234375,24426200,0.0,0.0
2021-05-28 00:00:00-04:00,241.40559779033563,242.44431686460024,240.0206390246495,240.13604736328125,18270200,0.0,0.0
2021-06-01 00:00:00-04:00,241.62677701036466,241.68448117371312,237.52000751313417,237.94317626953125,23213300,0.0,0.0
2021-06-02 00:00:00-04:00,238.64532119633685,239.7417445032834,236.4428474366505,237.8470458984375,19406700,0.0,0.0
2021-06-03 00:00:00-04:00,235.84653488909666,236.9237185044888,233.7113925974972,236.31781005859375,25307700,0.0,0.0
2021-06-04 00:00:00-04:00,238.28946553877864,242.0307712219281,238.0490216910813,241.20364379882812,25281100,0.0,0.0
2021-06-07 00:00:00-04:00,240.42459870903608,244.3774959981243,240.2610986600382,244.1082000732422,23079200,0.0,0.0
2021-06-08 00:00:00-04:00,245.40658282034158,246.22409767473246,242.85786953493397,242.91558837890625,22455000,0.0,0.0
2021-06-09 00:00:00-04:00,244.10821346748003,245.76246833996902,243.53115702915264,243.89662170410156,17937600,0.0,0.0
2021-06-10 00:00:00-04:00,244.56980954753342,247.61863517541653,243.97351361873402,247.40704345703125,24563600,0.0,0.0
2021-06-11 00:00:00-04:00,248.12839586874716,248.609283510247,246.80114128203925,248.03224182128906,18999700,0.0,0.0
2021-06-14 00:00:00-04:00,248.04185763593912,250.01351471996307,246.98389887756707,249.955810546875,19150500,0.0,0.0
2021-06-15 00:00:00-04:00,249.84032894346996,250.0519206579599,247.83022233134025,248.48422241210938,18038900,0.0,0.0
2021-06-16 00:00:00-04:00,249.48449295997696,250.6193807060856,244.69485634370264,247.54171752929688,27220000,0.0,0.0
2021-06-17 00:00:00-04:00,246.28188289865054,251.74476121719874,246.22417871121291,250.92724609375,27565500,0.0,0.0
2021-06-18 00:00:00-04:00,249.70573350554895,252.27365719884,248.85936651938206,249.51336669921875,37202200,0.0,0.0
2021-06-21 00:00:00-04:00,249.88850826319074,253.44705987166952,248.06114075061433,252.59109497070312,26696100,0.0,0.0
2021-06-22 00:00:00-04:00,252.67758558788293,255.63024254135578,252.3698104749173,255.36094665527344,24694100,0.0,0.0
2021-06-23 00:00:00-04:00,255.82263695358807,256.63052479177776,254.32226963251347,255.13015747070312,19518700,0.0,0.0
2021-06-24 00:00:00-04:00,255.9861098893135,257.61151244689773,255.32248260362277,256.495849609375,21446900,0.0,0.0
2021-06-25 00:00:00-04:00,256.05341754170934,257.03441766201166,254.6396068486284,254.8896484375,25611100,0.0,0.0
2021-06-28 00:00:00-04:00,256.01495201827004,258.6213546854569,255.74565612665353,258.4482421875,19590000,0.0,0.0
